train_project,test_project,metric_set,label,baseline_f1,f1_wo_cfs,f1_with_cfs,cfs_metrics
ant-ivy,commons-jexl,combined,adhoc,0.47437295528898576,0.5265588914549654,0.29402261712439415,oexp own delta_PMD_VNC current_PMD_ClMMIC current_PMD_SC parent_PMD_ISB
ant-ivy,commons-jexl,jit,bug,0.2597402597402597,0.4303278688524591,0.3190394511149228,add oexp own nsctr nddev minor
ant-ivy,commons-jexl,static,bug,0.022556390977443608,0.11304347826086955,0.22541966426858512,delta_CD delta_RFC delta_NLPA parent_NOC delta_LDC current_CLOC
ant-ivy,commons-jexl,pmd,bug,0.07389162561576354,0.07692307692307691,0.2672508214676889,parent_PMD_GDL parent_PMD_PST current_PMD_AIO parent_PMD_UC current_PMD_CASR current_PMD_AISD
ant-ivy,commons-jexl,combined,bug,0.08823529411764706,0.19834710743801653,0.2518518518518518,delta_CD delta_RFC delta_NLPA parent_PMD_UC current_PMD_AIO current_PMD_SC
ant-ivy,commons-lang,jit,adhoc,0.29670014347202295,0.4459770114942529,0.1974921630094044,oexp own minor nddev nsctr add
ant-ivy,commons-lang,static,adhoc,0.255361266908611,0.41876629018245,0.40643274853801176,delta_MIMS delta_CC delta_AD delta_CLOC delta_TNLPA delta_NOC
ant-ivy,commons-lang,pmd,adhoc,0.22303030303030302,0.3729993041057759,0.263013698630137,current_PMD_VNC delta_PMD_VNC current_PMD_SC current_PMD_ClMMIC current_PMD_SP current_PMD_BGMN
ant-ivy,commons-lang,combined,adhoc,0.31286664059444663,0.4808080808080808,0.23011015911872706,oexp own delta_PMD_VNC current_PMD_ClMMIC current_PMD_SC parent_PMD_ISB
ant-ivy,commons-lang,jit,bug,0.06930693069306931,0.15422885572139303,0.1413427561837456,add oexp own nsctr nddev minor
ant-ivy,commons-lang,static,bug,0.009389671361502348,0.07865168539325842,0.12019230769230768,delta_CD delta_RFC delta_NLPA parent_NOC delta_LDC current_CLOC
ant-ivy,commons-lang,pmd,bug,0.04466501240694789,0.04591836734693878,0.10927573062261751,parent_PMD_GDL parent_PMD_PST current_PMD_AIO parent_PMD_UC current_PMD_CASR current_PMD_AISD
